title,description,publishedAt,videoId
Why Don't We - Slow Down [Official Music Video],"“LOVE BACK” IS OUT EVERYWHERE NOW!! https://whydontwe.lnk.to/LoveBack 

Our new album ""The Good Times And The Bad Ones"" is out now: https://whydontwe.lnk.to/TGTATBO

SHOP MERCH: https://atlantic.lnk.to/wdwmerch

FOLLOW US:
https://twitter.com/whydontwemusic
https://www.instagram.com/whydontwemusic
https://vm.tiktok.com/ZMJUmfBNm/
https://www.facebook.com/whydontwemusic

LYRICS: 
I'VE BEEN LYING TO MYSELF AND I MIGHT KNOW WHY
I MISS THE WAY YOU LOOKED AT ME BEFORE YOU LEFT NEW YORK
I’VE BEEN TO TRYING TO FIND HELP BECAUSE I CAN’T DENY
THE WAY THAT I FEEL WHEN I’M WITH YOU
OH I’D DO ANYTHING TO SAVE YA

I THINK WE NEED A LITTLE CALIFORNIACATION
WE TOOK A SHOT AT THIS BUT MAYBE WE’RE TOO WASTED
IT'S HARD TO SWALLOW BUT I KNOW WE GOTTA CHASE IT

SLOW DOWN I THINK WE JUST NEED TO SLOW DOWN
SLOW DOWN
TURN AROUND THINGS WERE SO SIMPLE WAY BEFORE NOW

SEE YA – I WANNA SEE YA
I WISH YOU WEREN’T SO FAR SO I COULD SEE YA
CITA MAMACITA
WE WERE COMFORTABLE
WE DIDN’T UNDERSTAND BUT NOW WE KNOW

I THINK WE NEED A LITTLE CALIFORNIACATION
WE TOOK A SHOT AT THIS BUT MAYBE WE’RE TOO WASTED
IT'S HARD TO SWALLOW BUT I KNOW WE GOTTA CHASE IT

SLOW DOWN I THINK WE JUST NEED TO SLOW DOWN
SLOW DOWN
TURN AROUND THINGS WERE SO SIMPLE WAY BEFORE NOW

SLOW DOWN I THINK WE JUST NEED TO SLOW DOWN
SLOW DOWN
TURN AROUND THINGS WERE SO SIMPLE WAY BEFORE NOW

#WHYDONTWE #SLOWDOWN #THEGOODTIMESANDTHEBADONES",2024-06-27T23:25:06Z,46ISK1g54Fc
Natalie Imbruglia - Torn (Official Video),"Natalie Imbruglia - Torn (Official Video)
Follow On Spotify - http://smarturl.it/NatalieISpotify?IQ...
Listen On Apple Music - http://smarturl.it/NatalieIGlorious?I...
Listen On Amazon - http://smarturl.it/NatalieIGAmazon?IQ...

WATCH TORN IN HD ► https://smarturl.it/TORN_HD

Follow Natalie Imbruglia:
Facebook: https://www.facebook.com/natalieimbruglia/
Twitter: https://twitter.com/natimbruglia
Instagram: https://www.instagram.com/natalie_imbruglia/

Lyrics

I thought I saw a man brought to life
He was warm, he came around like he was dignified
He showed me what it was to cry
Well, you couldn't be that man I adored
You don't seem to know, or seem to care what your heart is for
But I don't know him anymore

There's nothing where he used to lie
My conversation has run dry
That's what's going on

Nothing's fine, I'm torn
I'm all out of faith
This is how I feel
I'm cold and I am shamed
Lying naked on the floor
Illusion never changed
Into something real
I'm wide awake and I can see
The perfect sky is torn
You're a little late, I'm already torn

So I guess the fortune teller's right
Should have seen just what was there
And not some holy light
But you crawled beneath my veins

And now I don't care, I had no luck
I don't miss it all that much
There's just so many things

That I can touch, I'm torn
I'm all out of faith
This is how I feel
I'm cold and I am shamed
Lying naked on the floor
Illusion never changed
Into something real
I'm wide awake and I can see
The perfect sky is torn
You're a little late, I'm already torn
Torn

There's nothing where he used to lie
My inspiration has run dry
That's what's going on

Nothing's right, I'm torn
I'm all out of faith
This is how I feel
I'm cold and I am shamed
Lying naked on the floor
Illusion never changed
Into something real
I'm wide awake and I can see
The perfect sky is torn

I'm all out of faith
This is how I feel
I'm cold and I'm ashamed
Bound and broken on the floor
You're a little late, I'm already torn
Torn
Oh
(Oh yeah, a little)
(Oh yeah, a little)
(Oh yeah, a little)",2024-06-27T22:51:36Z,VV1XWJN3nJo
New Radicals - Lost Stars,-Video Upload powered by https://www.TunesToTube.com,2024-06-27T02:46:43Z,1nuZiblgopY
Lost Stars - Gregg Alexander Live Recording,Video is not mine. Live recording 1-4-2015. Lost Stars is from the Begin Again written by the master Gregg Alexander formerly of the New Radicals.,2024-06-27T02:45:45Z,-pSi3qekU5Y
Melissa Etheridge - Come To My Window (Official Music Video),"REMASTERED IN HD!
Official Music Video for Come To My Window performed by Melissa Etheridge.
Follow Melissa Etheridge:

Instagram: https://www.instagram.com/melissa_etheridge
Facebook: https://www.facebook.com/MelissaEtheridge
Twitter: https://twitter.com/metheridge
Website: https://melissaetheridge.com

#MelissaEtheridge #ComeToMyWindow #Remastered",2024-06-27T01:33:25Z,Z4aj-t4eGrs
I'd Do Anything For Love (But I Won't Do That) (Single Edit),"Provided to YouTube by Universal Music Group

I'd Do Anything For Love (But I Won't Do That) (Single Edit) · Meat Loaf

Bat Out Of Hell II: Back Into Hell

℗ 1993 Geffen Records

Released on: 2002-01-01

Producer, Associated  Performer, Recording  Arranger: Jim Steinman
Producer, Associate  Producer, Studio  Personnel, Recording  Engineer: Steven Rinkoff
Producer, Associate  Producer: Roy Bittan
Studio  Personnel, Mixer: David Thoener
Associated  Performer, Vocals: Meat Loaf
Composer  Lyricist: Jim Steinman

Auto-generated by YouTube.",2024-06-27T00:42:57Z,BPYnpiJlBBY
The Way It Is,"Provided to YouTube by RCA Records Label

The Way It Is · Bruce Hornsby & The Range

The Way It Is

℗ 1986 RCA Records, a division of Sony Music Entertainment

Released on: 1986-06-02

Piano, Synthesizer, Vocal, Composer, Lyricist, Producer: Bruce Hornsby
Electric  Guitar: George Marinelli
Drums: John Molo
Bass: Joe Puerta
Producer: Elliot Scheiner

Auto-generated by YouTube.",2024-06-27T00:42:13Z,gthpodDZJeQ
Kokomo,"Provided to YouTube by Universal Music Group

Kokomo · The Beach Boys

The Very Best Of The Beach Boys: Sounds Of Summer

℗ 1988 WEA International Inc.

Released on: 2003-01-01

Producer: Terry Melcher
Studio  Personnel, Engineer, Mixer: Keith Wechsler
Associated  Performer, Vocals: Carl Wilson
Associated  Performer, Vocals: Mike Love
Composer: Mike Love
Composer: Scott McKenzie
Composer: Terry Melcher
Composer: John Phillips

Auto-generated by YouTube.",2024-06-27T00:42:05Z,vKGUth_Jo28
Time After Time,"Provided to YouTube by Portrait

Time After Time · Cyndi Lauper

She's So Unusual

℗ 1983 Epic Records, a division of Sony Music Entertainment

Released on: 1983-10-14

Background  Vocal, Keyboards, Composer, Lyricist, Performance  Arranger: Rob Hyman
Background  Vocal, Bass  Guitar, Guitar, Performance  Arranger: Eric Bazilian
Drums, Percussion: Anton Fig
Bass  Guitar: Neil Jason
Synthesizer: Richard Termini
Guitar: Rick DiFonzo
Synthesizer: Peter Wood
Percussion, Performance  Arranger, Producer: Rick Chertoff
Guitar, Co- Producer, Engineer: William (""Rock Pygmy"") Wittman
Background  Vocal: Ellie Greenwich
Background  Vocal: Maeretha Stewart
Background  Vocal: Dianne Wilson
Background  Vocal: Krystal Davis
Background  Vocal: Jules Shear
Executive  Producer: Lennie Petze
Assistant  Engineer: John Agnello
Engineer: John Jansen
Engineer: Rod O'Brien

Auto-generated by YouTube.",2024-06-27T00:41:41Z,7wBgcalM4c4
Owner of a Lonely Heart,"Provided to YouTube by Rhino Atlantic

Owner of a Lonely Heart · Yes

90125

℗ 1983 Atlantic Recording Corp.

Drums, Percussion, Synthesizer: Alan White
Backing  Vocals: Alan White
Unknown: Bob Ludwig
Bass  Guitar: Chris Squire
Vocals: Chris Squire
Keyboards  Programmer: Dave Lawson
Engineer: Gary Langan
Lead  Vocals: Jon Anderson
Keyboards  Programmer: Jonathan Jeczalik
Unknown: Julian Mendelson
Unknown: Keith Finney
Unknown: Stuart Bruce
Keyboards: Tony Kaye
Immersive  Mixer: Trevor Horn
Producer: Trevor Horn
Backing  Vocals: Trevor Horn
Guitar, Keyboards: Trevor Rabin
Lead  Vocals: Trevor Rabin
Composer, Writer: Chris Squire
Composer, Writer: Jon Anderson
Composer, Writer: Trevor Horn
Composer, Writer: Trevor Rabin

Auto-generated by YouTube.",2024-06-27T00:41:31Z,IG_VDj8Eh_g
